Timestamp,Entering Grade Level,District,Birth Month,OLSAT Verbal Score,OLSAT Verbal Percentile,NNAT Non Verbal Raw Score,NNAT Non Verbal Percentile,Overall Score,School Preferences,School Assigned,Will you enroll there?,,
4/26/17 17:16,1,2,May,29,99,44,99,99,"Anderson, Nest, Tag, LL",,Maybe,,
4/26/17 23:34,3,30,October,90,90,90,90,90,,,,,
4/27/17 11:28,K,2,November,20,90,39,99,96,PS11,,Maybe,,
4/28/17 8:37,K,2,March,21,90,39,99,96,"LL, 198, 11, 130, 217, 124, 33",,,,
4/28/17 11:41,2,2,November,28,99,47,99,99,"Anderson, nestM, lower lab",,,,
4/29/17 21:58,3,3,March,30,99,39,99,99,,,,,
5/3/17 10:40,K,20,December,23,98,37,99,99,"nest+m, BSI, Anderson, Q300",,,,
5/3/17 10:41,K,20,December,23,98,37,99,99,"nest, bsi, anderson",,,,
5/3/17 17:06,1,17,February,21,69,42,99,92,"316, 38, ",,Maybe,,
5/4/17 10:16,K,20,January,24/30,96,39/48,99,98,BSI,,Yes,,
5/5/17 21:41,K,28,May,35,94,40,98,96,"144, 174",,,,
5/5/17 21:44,K,28,March,22,94,40,98,96,,,,,
5/7/17 18:56,1,1,October,28,99,41,99,99,"Nest, Anderson",,Yes,,
5/8/17 11:38,K,25,August,Fill out later.,~70,Fill out later.,99,93,,,,,
5/9/17 3:30,2,2,May,28,98,37,95,97,Anderson (Sibling),,Yes,,
5/10/17 20:31,K,2,July,19/30,87,41/48,99,96,"11,198,33",,Yes,,
5/15/17 15:33,1,21,November,29,99,44,99,99,Bsi,,,,
5/16/17 10:18,K,28,December,26,99,46,99,99,NEST/Anderson/Q300,,,,
5/24/17 13:37,K,30,February,23,95,40,99,98,"300, 217, 122, 166",,Yes,,
5/24/17 14:32,K,26,February,25,98,41,99,99,"Nest, Q300, PS188, PS203",,,,
5/29/17 19:48,K,22,October,30,99,43,99,99,Brooklyn school of inquiry,,Yes,,
5/31/17 23:19,K,20,February,30,99,42,99,99,Bsi,,,,
6/1/17 12:36,K,2,June,24,97,43,99,98,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI",PS130,Yes,,
6/1/17 15:45,K,2,May,25,99,36,98,99,"Anderson, NEST, Lower Lab, TAG",TAG,Yes,,
6/1/17 17:24,K,22,April,25,98,38,99,99,Brooklyn School of Inquiry,Brooklyn School of Inquiry,Yes,,
6/1/17 17:27,K,3,January,23,93,38,99,97,"539, 334, 166, 77, 11, 163, 12 ",163,Maybe,,
6/1/17 17:50,2,2,October,28,99,47,99,99,Anderson,None,Yes,,
6/1/17 18:06,K,2,July,83,83,99,99,95,"LL, PS11, PS33",none,,,
6/1/17 18:19,K,14,May,26,99,44,99,99,NEST,NEST,Yes,,
6/1/17 19:10,2,3,April,29,99,44,99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163",PS 163,Maybe,,
6/1/17 19:34,1,3,December,27,99,43,99,99,All CW,Q300,Yes,,
6/1/17 20:46,K,2,April,29,99,42,99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111",Lower Lab,Yes,,
6/1/17 23:31,K,2,January,28,99,41,99,99,"Anderson, NEST+T, Lower Lab, TAG",Anderson,Yes,,
6/2/17 9:52,1,2,March,**,98,**,98,98,,,,,
6/2/17 12:03,K,2,July,24,97,34,98,98,"NEST,LL,Anderson,TAG,PS130,PS11,PS124",PS130,Maybe,,
6/2/17 13:20,K,3,April,23,96,39,99,98,,PS166,Yes,,
6/4/17 6:36,K,2,April,27,99,37,99,99,NEST/PS33,NEST,Yes,,
6/4/17 21:25,1,3,November,-,99,-,99,99,"Anderson, NEST, PS 166, TAG, LL",PS 166,Yes,,
6/6/17 17:11,K,2,April,25,98,39,99,99,"LL, Anderson, Nest+m, 198",Lower Lab,Yes,,
6/6/17 23:23,K,26,January,24,96,45,99,98,,,Maybe,,
6/7/17 23:25,K,2,December,99,99,99,99,99,,,Yes,,
6/20/17 16:06,1,2,August,30,99,44,99,99,"Lower Lab, Anderson, PS 11, NEST + m, Ps 33",Lower lab (off waitlist),Yes,,
6/21/17 22:52,K,20,July,97,97,97,99,98,PS229,Ps205,Yes,,
9/14/17 16:39,K,32,February,26,99,40,99,99,,,Maybe,,
11/19/17 17:07,K,4,April,19,84,33,95,91,Ps 102,Ps102,Yes,,
3/27/18,1,30,January,30,99,44,99,99,,,Will you enroll there?,,
3/27/18,1,2,July,28,99,43,99,99,NEST,,,,
3/27/18,1,2,December,27,99,41,99,99,,,,,
3/27/18,1,2,November,25,99,40,99,99,NEST+M,,,No,
3/27/18,1,2,November,25,99,40,99,99,"NEST, Anderson, TAG, LL",,Yes,at home,
3/27/18,1,3,January,28,98,45,99,99,none,,will update after placements,Y,
3/27/18,1,2,August,27,98,42,99,99,"Anderson, NEST",,,No,
3/27/18,1,28,September,27,98,42,99,99,"Q300, NEST+M",,Have sib priority at Q300,at home,
3/27/18,1,2,March,,,,99,99,Tag,,,,
3/27/18,1,2,March,26,95,46,99,98,anderson,,,,
3/27/18,1,30,May,25,92,44,99,97,122,,y,N,
Mar-18,1,2,Febrauary,25,91,43,99,97,,,,Y,
3/27/18,1,26,September,24,93,37,96,95,"PS 188, PS 203",,,,
3/27/18,1,26,September,24,93,37,96,95,"PS 188, PS 203",,Maybe,Prepared 3 days before exam,
3/27/18,1,14,August,26,97,36,94,96,"Anderson, NEST, TAG",,maybe,"yes, night before and day of test",
3/27/17,2,2,August,30,99,46,99,99,Anderson?,,"at LL now, has a sib ent K w/ 99",N,
3/27/18,2,2,June,27,94,41,99,97,,,,,
3/27/18,2,27,November,24,90,44,99,96,None,,,"Yes, at home",
3/27/18,2,,september,23,88,46,99,96,Not sure,,,yes,
3/27/18,2,28,March,24,79,44,99,94,:-(,,,Yes - reviewed exams from Testing Mom at home with Dad,
3/28/18,3,2,May,24,88,43,99,96,,,Missed the sib cut for citywide. Already in District G&T,Missed the sib cut for citywide. Already in District G&T,
3/27/18,K,2,March,29,99,43,99,99,N/A (going to Hunter),,,Y,
3/27/18,K,30,June,29,99,46,99,99,"Anderson, Q300, NEST, Mamie Fay",,,,
3/27/18,K,21,October ,26,99,36,99,99,"BSI, 215",,,,
3/27/18,K,2,March,26,99,47,99,99,"Anderson, NEST-M, LL, Q300",,,,
3/27/18,K,2,April,25,99,38,99,99,,,,Y,
3/27/18,K,6,July,25,99,42,99,99,"Anderson, TAG, Nest",,,,
3/27/18,K,13,May,25,99,42,99,99,NEST+M,,,yes,
3/27/18,K,2,January,25,99,45,99,99,NEST+M,,Yes,Yes,
3/27/18,K,3,September,24,99,42,99,99,"Anderson, NEST+M, 166, TAG, Q300, 163, BSI",,,Yes,
3/27/18,K,2,August,23,98,39,99,99,Lower Lab / Anderson,,"LL sib, sib retook & got 99 too - unsure how we'll rank",,Yes at home with mom
3/27/18,K,35,September,23,98,42,99,99,Brooklyn PS9,,"Yep, Sister is there",Y,
3/27/18,K,15,January,28,99,36,96,98,BSI,,,,
3/27/18,K,2,January,24,97,44,99,98,,,,Y,mom
3/27/18,K,2,August,22,97,37,99,98,"TAG, lower lab",,,at home with mom,
3/27/18,K,13,August,23,,34,,98,NEST+M,,(Can you even get in with a 98/no sibling?) - Response: Not really but no harm in listing the school anyway.,N,
3/27/18,K,2,December,20,96,29,95,96,Not sure. ,,,,
3/27/18,K,25,April,20,90,43,99,96,,,,,
3/27/18,K,13,May,22,94,34,96,95,,,,N,
3/27/18,K,3,June,20,91,34,97,95,Anderson/NEST only,,Will not enroll if get PS 165/163. Maybe 166 but doubtful,No. We should have!,
3/27/18,K,2,April,18,84,39,99,95,,,,,
3/27/18,K,20,June,27,99,26,79,94,No idea! ,,,At home with mom :),
27-Mar,K,3,February,22,94,39,99,94,PS166,,,,
3/27/18,K,2,November,15,79,35,99,94,"PS33, PS11",,Not sure,,
10/19/18,K,32,August,15,75,33,98,91,,,No,"Yes, at home with mom",
3/27/18,K,29,July,,62,,99,91,Not sure ,,,,
3/27/18,K,2,December,10,48,31,98,84,,,Maybe,Testing Mom (at home with mom),
3/27/18,K,2,July,19,89,24,71,81,:( maybe next year,,,,
3/27/18,K,2,April,29,99,37,99,99,,,,Y,
